date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:24	22971/22971	---M-Z	200	added ('OK')	text/html	etag:W/%225e7715a4-59bb%22	https://technext.github.io/cleaning-company/blog-single.html	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/blog-single.html	(from https://technext.github.io/cleaning-company/index.html)
21:47:28	125708/125708	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1eb0c%22	https://technext.github.io/cleaning-company/images/image_3.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/image_3.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:28	138967/138967	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-21ed7%22	https://technext.github.io/cleaning-company/images/image_1.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/image_1.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:29	115668/115668	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1c3d4%22	https://technext.github.io/cleaning-company/images/work-8.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-8.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:30	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-2c9d%22	https://technext.github.io/cleaning-company/js/jquery-migrate-3.0.1.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/jquery-migrate-3.0.1.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:34	19032/19032	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-4a58%22	https://technext.github.io/cleaning-company/js/popper.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/popper.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:38	55775/55775	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-d9df%22	https://technext.github.io/cleaning-company/js/bootstrap.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/bootstrap.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:39	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-1faf%22	https://technext.github.io/cleaning-company/js/jquery.easing.1.3.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/jquery.easing.1.3.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:40	8835/8835	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-2283%22	https://technext.github.io/cleaning-company/js/jquery.waypoints.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/jquery.waypoints.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:40	108360/108360	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1a748%22	https://technext.github.io/cleaning-company/images/image_2.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/image_2.jpg	(from https://technext.github.io/cleaning-company/index.html)
